run_id,run_timestamp,symbol,avg_weight,total_contribution,volatility,beta,realized_return,observations
STAB_20260409_2059_9,2026-04-15 23:11:41,AXIA6.SA,0.1087,0.3591274805047189,0.4327211542000901,,9.994617437824129,2463
STAB_20260409_2059_9,2026-04-15 23:11:41,ENEV3.SA,0.1292,0.4547832677695558,0.4348707541060583,,12.041211592358955,2564
STAB_20260409_2059_9,2026-04-15 23:11:41,PETR4.SA,0.2089,0.9437228471492397,0.6977037632123363,,14.964238386541467,2564
STAB_20260409_2059_9,2026-04-15 23:11:41,PRIO3.SA,0.1416,1.0409050155595194,0.6413678901460634,,214.1373280878911,2564
STAB_20260409_2059_9,2026-04-15 23:11:41,VALE3.SA,0.1123,0.47548298502443714,0.5059244575527485,,21.765206303734477,2564
STAB_20260409_2059_9,2026-04-15 23:11:41,PNVL3.SA,0.1185,0.23724858778293353,0.36576450354271,,2.7461260767119042,2564
STAB_20260409_2059_9,2026-04-15 23:11:41,AURA33.SA,0.1625,0.48273203851400287,0.4209078708746095,,10.941323447710111,1391
STAB_20260409_2059_9,2026-04-17 14:24:28,DASA3.SA,0.0183,0.01367969017571614,0.6005629809971393,,-0.6685919638791984,2566
STAB_20260409_2059_9,2026-04-17 14:24:28,AXIA6.SA,0.1087,0.35669014315601877,0.4325865094287688,,9.749295452960869,2465
STAB_20260409_2059_9,2026-04-17 14:24:28,ENEV3.SA,0.1292,0.454786218036926,0.43470676021202204,,12.041211592358955,2566
STAB_20260409_2059_9,2026-04-17 14:24:28,PETR4.SA,0.2089,0.9469326220060279,0.6975499177681056,,15.19763393376438,2566
STAB_20260409_2059_9,2026-04-17 14:24:28,PRIO3.SA,0.1416,1.0391680932815022,0.6412106096893163,,211.39356085960014,2566
STAB_20260409_2059_9,2026-04-17 14:24:28,VALE3.SA,0.1123,0.4743912489457171,0.5057434820201296,,21.543483872937784,2566
STAB_20260409_2059_9,2026-04-17 14:24:28,PNVL3.SA,0.1185,0.23430647145835268,0.36567552977939893,,2.6535982888594902,2566
STAB_20260409_2059_9,2026-04-17 14:24:28,AURA33.SA,0.1625,0.48057909981910074,0.42100394393151697,,10.773490912474138,1393
STAB_20260409_2059_9,2026-04-20 06:33:22,DASA3.SA,0.0183,0.014249783083201711,0.6005237986314559,,-0.6582677359624666,2567
STAB_20260409_2059_9,2026-04-20 06:33:22,AXIA6.SA,0.1087,0.35383121006515006,0.4325889498028117,,9.466576810145826,2466
STAB_20260409_2059_9,2026-04-20 06:33:22,ENEV3.SA,0.1292,0.4546910149134281,0.4346225489845569,,12.031601963273904,2567
STAB_20260409_2059_9,2026-04-20 06:33:22,PETR4.SA,0.2089,0.9367843282859711,0.6975923571155567,,14.410758171534601,2567
STAB_20260409_2059_9,2026-04-20 06:33:22,PRIO3.SA,0.1416,1.0334600151242033,0.6412283362533715,,202.83170319368497,2567
STAB_20260409_2059_9,2026-04-20 06:33:22,VALE3.SA,0.1123,0.4773580000731992,0.505704490104693,,22.13903958262089,2567
STAB_20260409_2059_9,2026-04-20 06:33:22,PNVL3.SA,0.1185,0.23381982280118294,0.3656074625148666,,2.6385939116349237,2567
STAB_20260409_2059_9,2026-04-20 06:33:22,AURA33.SA,0.1625,0.48453448187389425,0.4209588069760103,,11.060067248950908,1394
STAB_20260409_2059_9,2026-04-20 15:10:33,DASA3.SA,0.0183,0.014249783083201711,0.6005237986314559,,-0.6582677359624666,2567
STAB_20260409_2059_9,2026-04-20 15:10:33,AXIA6.SA,0.1087,0.35383121006515006,0.4325889498028117,,9.466576810145826,2466
STAB_20260409_2059_9,2026-04-20 15:10:33,ENEV3.SA,0.1292,0.4546910149134281,0.4346225489845569,,12.031601963273904,2567
STAB_20260409_2059_9,2026-04-20 15:10:33,PETR4.SA,0.2089,0.9367843282859711,0.6975923571155567,,14.410758171534601,2567
STAB_20260409_2059_9,2026-04-20 15:10:33,PRIO3.SA,0.1416,1.0334600151242033,0.6412283362533715,,202.83170319368497,2567
STAB_20260409_2059_9,2026-04-20 15:10:33,VALE3.SA,0.1123,0.4773580000731992,0.505704490104693,,22.13903958262089,2567
STAB_20260409_2059_9,2026-04-20 15:10:33,PNVL3.SA,0.1185,0.23381982280118294,0.3656074625148666,,2.6385939116349237,2567
STAB_20260409_2059_9,2026-04-20 15:10:33,AURA33.SA,0.1625,0.48453448187389425,0.4209588069760103,,11.060067248950908,1394
STAB_20260409_2059_9,2026-04-20 23:15:28,DASA3.SA,0.0183,0.014249783083201711,0.6005237986314559,,-0.6582677359624666,2567
STAB_20260409_2059_9,2026-04-20 23:15:28,AXIA6.SA,0.1087,0.35383121006515006,0.4325889498028117,,9.466576810145826,2466
STAB_20260409_2059_9,2026-04-20 23:15:28,ENEV3.SA,0.1292,0.4546910149134281,0.4346225489845569,,12.031601963273904,2567
STAB_20260409_2059_9,2026-04-20 23:15:28,PETR4.SA,0.2089,0.9367843282859711,0.6975923571155567,,14.410758171534601,2567
STAB_20260409_2059_9,2026-04-20 23:15:28,PRIO3.SA,0.1416,1.0334600151242033,0.6412283362533715,,202.83170319368497,2567
STAB_20260409_2059_9,2026-04-20 23:15:28,VALE3.SA,0.1123,0.4773580000731992,0.505704490104693,,22.13903958262089,2567
STAB_20260409_2059_9,2026-04-20 23:15:28,PNVL3.SA,0.1185,0.23381982280118294,0.3656074625148666,,2.6385939116349237,2567
