run_id,run_timestamp,scoring_version,Stock,Name,Sector,Industry,CompositeScore,SharpeRatio,PotentialUpside_pct,Momentum,SharpeRatio_norm,PotentialUpside_pct_norm,Momentum_norm,sharpe_weight_used,upside_weight_used,momentum_weight_used,AnnualizedMeanReturn,AnnualizedStdDev,CurrentPrice,TargetPrice,forwardPE,forwardEps,SectorMedianPE
20250812-050603,2025-08-12 05:06:03,3.0.0,MYPK3.SA,Iochpe-Maxion S.A.,Consumer Cyclical,Auto Parts,0.5812391086924398,-0.16324701171567857,1.0504084216361727,0.04978509036180356,0.7522365680515051,0.13347133383348053,0.3497533942282012,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.07876976476700026,0.4363340834505373,13.90999984741211,28.521180832091666,5.454902,2.55,11.184777
20250812-050603,2025-08-12 05:06:03,3.0.0,KLBN4.SA,Klabin S.A.,Basic Materials,Paper and Paper Products,0.5784385814461356,-0.13756637710726285,2.7121869959191924,-0.09830220492333885,0.760205178906685,0.24510425963228366,0.29372619650750637,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.10659911013338158,0.3154905346731491,3.7699999809265137,13.994944903811007,1.7867299,2.11,6.6326754999999995
20250812-050603,2025-08-12 05:06:03,3.0.0,HBSA3.SA,Hidrovias do Brasil S.A.,Industrials,Integrated Freight and Logistics,0.5779170601656759,-0.4006550831092124,0.1554817683348928,0.4653060588971729,0.6785696761050773,0.0733530471800035,0.5069611777615498,0.6188139987986456,0.08126660041268753,0.2999194007886669,-0.036953885386012596,0.46662052540352233,3.5899999141693115,4.148179449146469,7.8043475,0.46,9.01778125
20250812-050603,2025-08-12 05:06:03,3.0.0,GMAT3.SA,Grupo Mateus S.A.,Consumer Cyclical,Department Stores,0.5697727141835534,-0.24910707362572923,0.0328950144945257,0.14297995105791217,0.7255944919581581,0.06511806436872121,0.38501264369129373,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.05283499681973868,0.3900531677645044,7.579999923706055,7.829344131064869,10.828571,0.7,11.184777
20250812-050603,2025-08-12 05:06:03,3.0.0,BEEF3.SA,Minerva S.A.,Consumer Defensive,Farm Products,0.5662666202943321,-0.18695465397181033,0.17646215177410984,0.0,0.7448801698038144,0.07476244168294506,0.3309177534267902,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.07236056844050064,0.4152848292891714,,,6.631579,0.76,7.8018017
20250812-050603,2025-08-12 05:06:03,3.0.0,BBAS3.SA,Banco do Brasil S.A.,Financial Services,Banks - Regional,0.5655649948411153,-0.049079548775776034,1.8455854197935517,-0.31979876546636665,0.787662331408347,0.18688876032215515,0.20992541151712005,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.12855569257869381,0.436929596057948,18.93000030517578,53.86693286509569,2.7434783,6.9,7.806801849999999
20250812-050603,2025-08-12 05:06:03,3.0.0,JSLG3.SA,JSL S.A.,Industrials,Integrated Freight and Logistics,0.5555502618030199,-0.28092846147957407,1.703715255119472,-0.00889674642630911,0.7157204269069797,0.1773583801552556,0.3275517673701341,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.02136601727252977,0.45788875235349924,5.570000171661377,15.059694435138944,3.3353295,1.67,9.01778125
20250812-050603,2025-08-12 05:06:03,3.0.0,RAPT4.SA,Randoncorp S.A.,Industrials,Farm and Heavy Construction Machinery,0.5538741809640162,-0.11854572623138897,1.5519317117297668,-0.2911490886830065,0.7661072201666936,0.1671620511744147,0.22076470129336034,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.09593923077878468,0.4560330510413703,6.289999961853027,16.051650369431766,3.5337079,1.78,9.01778125
20250812-050603,2025-08-12 05:06:03,3.0.0,MDIA3.SA,M. Dias Branco S.A. Indústria e Comércio de Alimentos,Consumer Defensive,Packaged Foods,0.5531142184575174,-0.3372477180299435,0.0389575988789308,0.14503161511780727,0.6982447591150369,0.06552532923734264,0.38578886819940467,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.028239255056306273,0.3610424576182984,24.329999923706055,25.27783830145821,7.509259,3.24,7.8018017
20250812-050603,2025-08-12 05:06:03,3.0.0,SMTO3.SA,São Martinho S.A.,Basic Materials,Specialty Chemicals,0.552900322985737,-0.12119070532002002,0.16588471987708697,-0.22857139149953942,0.7652864924316212,0.07405188391768339,0.2444402840383417,0.6188139987986456,0.08126660041268753,0.2999194007886669,0.10366651727136723,0.3823187810177612,17.010000228881836,19.831699351959085,5.6889634,2.99,6.6326754999999995
